eq10101	粗布拳套
eq10102	拳套
eq10103	猛虎护手
eq10104	爪
eq10105	乌鬼爪
eq10106	天罡拳套
eq10107	离魂金线缠
eq10108	金丝手套
eq10109	乌蚕丝手套
eq10110	百烈护手
eq10111	野球拳
eq10112	夜雪
eq10113	天残鬼爪
eq10114	神农
eq10115	虿鬼
eq10301	白铁清泉剑
eq10302	生锈铁剑
eq10303	长剑
eq10304	青锋剑
eq10305	重剑
eq10307	白虹剑
eq10308	明水剑
eq10309	息壤刀
eq10310	玉桂金香
eq10311	长宁剑
eq10312	龙脊剑
eq10313	青霜宝剑
eq10314	君子剑
eq10315	墨玉飞雪
eq10316	墨玉芙蓉
eq10317	古剑螭纹
eq10318	真武剑
eq10319	八德剑
eq10320	青釭剑
eq10321	青城剑
eq10322	周公剑
eq10323	苍山之麓
eq10324	紫炁剑
eq10325	万虹剑
eq10327	细剑
eq10326	蛇形剑
eq10328	七星剑
eq10329	鎏金清泉剑
eq10330	金蛇剑
eq10331	玄铁剑
eq10332	辘轳剑
eq10333	油纸伞
eq10334	冲灵剑
eq10401	破损朴刀
eq10402	环柄刀
eq10403	朴刀
eq10404	戒刀
eq10405	开山刀
eq10406	柳叶刀
eq10407	雁翎刀
eq10408	九环刀
eq10409	百炼钢刀
eq10411	紫金八卦刀
eq10412	狴犴啸天
eq10413	鲨齿鬼头刀
eq10414	雪花镔铁刀
eq10415	新亭侯
eq10416	黑风刀
eq10417	鸩翎
eq10418	凄花
eq10419	白驹
eq10420	大刀
eq10421	弯刀
eq10422	蛮刀
eq10423	息壤刀
eq10424	金乌刀
eq10425	血刀
eq10426	冷月宝刀
eq10501	长棍
eq10502	长枪
eq10503	红缨铁枪
eq10504	太宁笔枪
eq10505	浑铁点钢枪
eq10506	涯角枪
eq10507	齐眉棍
eq10508	烧火棍
eq10509	铁棍
eq10510	龙头拐杖
eq10511	铁刀木棍
eq10512	花梨木棍
eq10513	水磨禅杖
eq10514	百炼孤金沉杖
eq10515	狼牙棒
eq10516	月牙铲
eq10518	锄头
eq10519	竹扫把
eq10520	关刀
eq10521	钓竿
eq10522	三朵神枪
eq10523	斑驳木棍
eq10524	玉龙神枪
eq10525	丈八槊
eq10526	如意金箍棒
eq10527	冷艳锯
eq10528	子午竿
eq10529	关刀王
eq10530	竹扫把
eq10530b	竹扫把
eq10531	形意无极
eq10701	飞蝗石
eq10702	飞镖
eq10703	甩手箭
eq10704	铁莲子
eq10705	飞针
eq10706	飞刀
eq10707	如意珠
eq10708	子母追魂钉
eq10709	乾坤圈
eq10710	梅花袖箭
eq10711	铁蒺藜
eq10712	繁星怒放
eq10713	离火玄冰镖
eq10714	霹雳弹
eq10714b	霹雳弹
eq10715	毒粉末
eq10716	无当飞刀
eq10717	雷神槌
eq10718	青城神剑令
eq10719	寻欢刀
eq10720	黑血神针
eq10721	断魂蜈蚣标
eq10722	毒蛇锥
eq10723	蝎尾针
eq10801	长弓
eq10802	破损的武侯弩
eq10803	武侯弩
eq10804	黄桦弓
eq10805	黑漆弓
eq10806	麻背弓
eq10807	黑檀弓
eq10808	雪山神鹰
eq10809	定天山
eq10810	百步穿杨
eq10811	铁胎弓
eq10812	短弓
eq10813	后羿弓
eq10901	陈旧匕首
eq10902	短剑
eq10903	苗族尖刀
eq10904	折勒干布刀
eq10905	精锋短剑
eq10906	八斩刀
eq10907	精钢簪
eq10908	分光刺
eq10909	丛林弯刀
eq10910	蝉翼
eq10918	晴日虹光
eq10911	玉龙宝剑
eq10912	骐骥
eq10913	菜刀
eq10914	猎刀
eq10915	菡萏戏蝶金剑
eq10916	菡萏戏蝶银剑
eq10917	短刀
eq10919	蛹蛉刀
eq10920	盘古菜刀
eq10921	蛇形匕首
eq10922	玄铁匕首
eq10923	寒月流光
eq11001	清风扇
eq11002	铁骨折扇
eq11003	古墓通幽
